assay,panel,n_active,struct_pca_L2_AUC,struct_raw_L1_AUC,expr_L2_AUC,fusion_pca_L2_AUC,fusion_raw_L1_AUC
NR-AR,NR,28,0.802,0.786,0.686,0.796,0.786
NR-AR-LBD,NR,25,0.904,0.828,0.738,0.884,0.827
NR-AhR,NR,30,0.833,0.802,0.673,0.845,0.799
NR-Aromatase,NR,25,0.747,0.734,0.594,0.747,0.726
NR-ER,NR,39,0.649,0.676,0.652,0.67,0.681
NR-ER-LBD,NR,23,0.927,0.822,0.797,0.918,0.819
NR-PPAR-gamma,NR,12,0.712,0.539,0.727,0.786,0.551
SR-ARE,SR,48,0.676,0.704,0.611,0.676,0.702
SR-ATAD5,SR,14,0.825,0.759,0.656,0.831,0.761
SR-HSE,SR,17,0.535,0.554,0.576,0.558,0.55
SR-MMP,SR,34,0.799,0.784,0.737,0.834,0.791
SR-p53,SR,32,0.741,0.712,0.704,0.774,0.726
MACRO,,,0.763,0.725,0.679,0.776,0.727
SR_mean,,,0.715,0.703,0.657,0.734,0.706
NR_mean,,,0.796,0.741,0.695,0.807,0.741
